ref_des,part_number,description,manufacturer,package,value,voltage_rating,lifecycle,platform
R101,G2R1000MT33J,Thick Film Resistor 100 Ohm 0.125W 0402,Yageo,0402,100 Ohm,50V,Active,CARDIOHELP
R102,G2R1000MT33J,Thick Film Resistor 100 Ohm 0.125W 0402,Yageo,0402,100 Ohm,50V,Active,ROTAFLOW
R201,RC0402FR-07100RL,Thick Film Resistor 100 Ohm 0.1W 0402,Yageo,0402,100 Ohm,50V,Active,CARDIOHELP
C101,GRM155R71C104KA88D,MLCC 100nF 16V 0402 X7R,Murata,0402,100nF,16V,Active,CARDIOHELP
C102,CL05B104KO5NNNC,MLCC 100nF 16V 0402 X7R,Samsung,0402,100nF,16V,Active,ROTAFLOW
U101,1ED3241MC12H,Gate Driver IC Single Channel,Infineon,PG-DSO-8,N/A,1200V,Active,CARDIOHELP
U102,1ED3241MC12H,Gate Driver IC Single Channel,Infineon,PG-DSO-8,N/A,1200V,Active,ROTAFLOW
U201,1EDI20I12MH,Gate Driver IC Single Channel,Infineon,PG-DSO-8,N/A,1200V,Active,CARDIOHELP
Q101,IRFP4568PBF,MOSFET N-Ch 150V 171A,Infineon,TO-247AC,N/A,150V,Active,CARDIOHELP
Q102,IPW60R017C7,CoolMOS C7 600V,Infineon,TO-247-3,N/A,600V,Active,ROTAFLOW
D101,VS-8EWL06FN-M3,Rectifier Diode 600V 8A,Vishay,TO-220-2,N/A,600V,Active,CARDIOHELP
J101,5-104068-1,Header Connector 2.54mm 10-pos,TE Connectivity,TH,N/A,N/A,Active,CARDIOHELP
J102,5-104068-1,Header Connector 2.54mm 10-pos,TE Connectivity,TH,N/A,N/A,Active,ROTAFLOW
